"Register address Field Type Accuracy Unit Min. Max. Read and write attributes Remarks Confidentiality level","Register address (Hex)","Field",,"Accuracy","Unit","Min","Max",,"Remarks",,"Mask claculation",
,"1306","Italay_Autotest_Result3","U16","0,1","V",,,"R","Italian automatic test 59.s1.
Test result of first-level overvoltage protection value. ",,1,64
,"1307","Italay_Autotest_Result4","U16",1,"ms",,,"R","Italian automatic test 59.s1.
The first level overvoltage protection time test result. ",,1,128
,"1308","Italay_Autotest_Result5","U16","0,1","V",,,"R","Italian automatic test 59.s2.
The secondary overvoltage protection value is set by default. ",,1,256
,"1309","Italay_Autotest_Result6","U16",1,"ms",,,"R","Italian automatic test 59.s2.
The secondary overvoltage protection time is set by default",,1,512
,"130A","Italay_Autotest_Result7","U16","0,1","V",,,"R","Italian automatic test 59.s2.
Test result of secondary overvoltage protection value.",,1,1024
,"130B","Italay_Autotest_Result8","U16",1,"ms",,,"R","Italian automatic test 59.s2.
Test result of secondary overvoltage protection time. ",,1,2048
,"130C","Italay_Autotest_Result9","U16","0,1","V",,,"R","Italian automatic test 27.s1.
The first-level undervoltage protection value is set by default",,1,4096
,"130D","Italay_Autotest_Result10","U16",1,"ms",,,"R","""Italian automatic test 27.s1.",,1,8192
,"130E","Italay_Autotest_Result11","U16","0,1","V",,,"R","The first-level undervoltage protection time is set by default. """,,1,16384
,"130F","Italay_Autotest_Result12","U16",1,"ms",,,"R","""Italian automatic test 27.s1.",,1,32768
,"1310","Italay_Autotest_Result13","U16","0,1","V",,,"R","The first level undervoltage protection value test result. """,,1,65536
,"1311","Italay_Autotest_Result14","U16",1,"ms",,,"R","""Italian automatic test 27.s1.",,1,131072
,"1312","Italay_Autotest_Result15","U16","0,1","V",,,"R","The first level undervoltage protection time test result. """,,1,262144
,"1313","Italay_Autotest_Result16","U16",1,"ms",,,"R","""Italian automatic test 27.s2.",,1,524288
,"1314","Italay_Autotest_Result17","U16","0,01","Hz",,,"R","The secondary undervoltage protection value is set by default. """,,1,1048576
,"1315","Italay_Autotest_Result18","U16",1,"ms",,,"R","""Italian automatic test 27.s2.",,1,2097152
,"1316","Italay_Autotest_Result19","U16","0,01","Hz",,,"R","The secondary undervoltage protection time is set by default. """,,1,4194304
,"1317","Italay_Autotest_Result20","U16",1,"ms",,,"R","""Italian automatic test 27.s2.",,1,8388608
,"1318","Italay_Autotest_Result21","U16","0,01","Hz",,,"R","Test result of secondary undervoltage protection value. """,,1,16777216
,"1319","Italay_Autotest_Result22","U16",1,"ms",,,"R","""Italian automatic test 27.s2.",,1,33554432
,"131A","Italay_Autotest_Result23","U16","0,01","Hz",,,"R","Test result of secondary undervoltage protection time. """,,1,67108864
,"131B","Italay_Autotest_Result24","U16",1,"ms",,,"R","""Italian automatic test 81>s1.",,1,134217728
,"131C","Italay_Autotest_Result25","U16","0,01","Hz",,,"R","The first-level over-frequency protection value is set by default. """,,1,268435456
,"131D","Italay_Autotest_Result26","U16",1,"ms",,,"R","""Italian automatic test 81>s1.",,1,536870912
,"131E","Italay_Autotest_Result27","U16","0,01","Hz",,,"R","The first-level over-frequency protection time is set by default. """,,1,1073741824
,"131F","Italay_Autotest_Result28","U16",1,"ms",,,"R","""Italian automatic test 81>s1.",,1,2147483648
,"1320","Italay_Autotest_Result29","U16","0,01","Hz",,,"R","Test result of level 1 over-frequency protection value. """,,1,4294967296
,"1321","Italay_Autotest_Result30","U16",1,"ms",,,"R","Italian Auto Test 81<s2.",,1,8589934592
,"1322","Italay_Autotest_Result31","U16","0,01","Hz",,,"R","The second level under-frequency protection time is set by default. """,,1,17179869184
,"1323","Italay_Autotest_Result32","U16",1,"ms",,,"R","""Italian Auto Test 81<s2.",,1,34359738368
,"1324","Italay_Autotest_Result33",,,,,,,"Test result of secondary underfrequency protection value. """,,,0
,"1325","Italay_Autotest_Result34",,,,,,,"""Italian Auto Test 81<s2.",,,0
,"1326","Italay_Autotest_Result35",,,,,,,"Test result of secondary under-frequency protection time. """,,,0
,"1327","Italay_Autotest_Result36",,,,,,,"Italy automatic test result 36",,,0
,"1328","Italay_Autotest_Result37",,,,,,,"Italy automatic test result 37",,,0
,"1329","Italay_Autotest_Result38",,,,,,,"Italy automatic test result 38",,,0
,"132A","Italay_Autotest_Result39",,,,,,,"Italy automatic test result 39",,,0
,"132B","Italay_Autotest_Result40",,,,,,,"Italian automatic test result 40",,,0
,"132C","Italay_Autotest_Result41",,,,,,,"Italian automatic test result 41",,,0
,"132D","Italay_Autotest_Result42",,,,,,,"Italian automatic test result 42",,,0
,"132E","Italay_Autotest_Result43",,,,,,,"Italy automatic test result 43",,,0
,"132F","Italay_Autotest_Result44",,,,,,,"Italy automatic test result 44",,,0
,"1330","Italay_Autotest_Result45",,,,,,,"Italy automatic test result 45",,,0
,"1331","Italay_Autotest_Result46",,,,,,,"Italy automatic test result 46",,,0
,"1332","Italay_Autotest_Result47",,,,,,,"Italy automatic test result 47",,,0
,"1333","Italay_Autotest_Result48",,,,,,,"Italy automatic test result 48",,,0
,,,,,,,,,,,,
,"1340","AddressMask_Config_ReadOnly_Result2","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field plus 1 is located.
0 means invalid; 1 means valid. ",,"FFFFFFFF","FFFFFFFF"
,"1341",,,,,,,,,,,
,"1342",,,,,,,,,,,
,"1343",,,,,,,,,,,
,"1344","IVCurve_Voltage1","U16","0,1","V",,,"R","IV curve sweep voltage 1",,1,16
,"1345","IVCurve_Current1","U16","0,01","A",,,"R","IV curve sweep current 1",,1,32
,"1346","IVCurve_Voltage2","U16","0,1","V",,,"R","IV curve sweep voltage 2",,1,64
,"1347","IVCurve_Current2","U16","0,01","A",,,"R","IV curve scan current 2",,1,128
,"1348","IVCurve_Voltage3","U16","0,1","V",,,"R","IV curve sweep voltage 3",,1,256
,"1349","IVCurve_Current3","U16","0,01","A",,,"R","IV curve scan current 3",,1,512
,"134A","IVCurve_Voltage4","U16","0,1","V",,,"R","IV curve sweep voltage 4",,1,1024
,"134B","IVCurve_Current4","U16","0,01","A",,,"R","IV curve scan current 4",,1,2048
,"134C","IVCurve_Voltage5","U16","0,1","V",,,"R","IV curve sweep voltage 5",,1,4096
,"134D","IVCurve_Current5","U16","0,01","A",,,"R","IV curve scan current 5",,1,8192
,"134E","IVCurve_Voltage6","U16","0,1","V",,,"R","IV curve sweep voltage 6",,1,16384
,"134F","IVCurve_Current6","U16","0,01","A",,,"R","IV curve scan current 6",,1,32768
,"1350","IVCurve_Voltage7","U16","0,1","V",,,"R","IV curve sweep voltage 7",,1,65536
,"1351","IVCurve_Current7","U16","0,01","A",,,"R","IV curve scan current 7",,1,131072
,"1352","IVCurve_Voltage8","U16","0,1","V",,,"R","IV curve sweep voltage 8",,1,262144
,"1353","IVCurve_Current8","U16","0,01","A",,,"R","IV curve scan current 8",,1,524288
,"1354","IVCurve_Voltage9","U16","0,1","V",,,"R","IV curve sweep voltage 9",,1,1048576
,"1355","IVCurve_Current9","U16","0,01","A",,,"R","IV curve sweep current 9",,1,2097152
,"1356","IVCurve_Voltage10","U16","0,1","V",,,"R","IV curve sweep voltage 10",,1,4194304
,"1357","IVCurve_Current10","U16","0,01","A",,,"R","IV curve sweep current 10",,1,8388608
,"1358","IVCurve_Voltage11","U16","0,1","V",,,"R","IV curve sweep voltage 11",,1,16777216
,"1359","IVCurve_Current11","U16","0,01","A",,,"R","IV curve scan current 11",,1,33554432
,"135A","IVCurve_Voltage12","U16","0,1","V",,,"R","IV curve sweep voltage 12",,1,67108864
,"135B","IVCurve_Current12","U16","0,01","A",,,"R","IV curve scan current 12",,1,134217728
,"135C","IVCurve_Voltage13","U16","0,1","V",,,"R","IV curve sweep voltage 13",,1,268435456
,"135D","IVCurve_Current13","U16","0,01","A",,,"R","IV curve sweep current 13",,1,536870912
,"135E","IVCurve_Voltage14","U16","0,1","V",,,"R","IV curve sweep voltage 14",,1,1073741824
,"135F","IVCurve_Current14","U16","0,01","A",,,"R","IV curve scan current 14",,1,2147483648
,"1360","IVCurve_Voltage15","U16","0,1","V",,,"R","IV curve sweep voltage 15",,1,4294967296
,"1361","IVCurve_Current15","U16","0,01","A",,,"R","IV curve scan current 15",,1,8589934592
,"1362","IVCurve_Voltage16","U16","0,1","V",,,"R","IV curve sweep voltage 16",,1,17179869184
,"1363","IVCurve_Current16","U16","0,01","A",,,"R","IV curve scan current 16",,1,34359738368
,"1364","IVCurve_Voltage17","U16","0,1","V",,,"R","IV curve sweep voltage 17",,1,68719476736
,"1365","IVCurve_Current17","U16","0,01","A",,,"R","IV curve scan current 17",,1,137438953472
,"1366","IVCurve_Voltage18","U16","0,1","V",,,"R","IV curve sweep voltage 18",,1,274877906944
,"1367","IVCurve_Current18","U16","0,01","A",,,"R","IV curve scan current 18",,1,549755813888
,"1368","IVCurve_Voltage19","U16","0,1","V",,,"R","IV curve sweep voltage 19",,1,1099511627776
,"1369","IVCurve_Current19","U16","0,01","A",,,"R","IV curve scan current 19",,1,2199023255552
,"136A","IVCurve_Voltage20","U16","0,1","V",,,"R","IV curve sweep voltage 20",,1,4398046511104
,"136B","IVCurve_Current20","U16","0,01","A",,,"R","IV curve scan current 20",,1,8796093022208
,"136C","IVCurve_Voltage21","U16","0,1","V",,,"R","IV curve sweep voltage 21",,1,17592186044416
,"136D","IVCurve_Current21","U16","0,01","A",,,"R","IV curve scan current 21",,1,35184372088832
,"136E","IVCurve_Voltage22","U16","0,1","V",,,"R","IV curve scan voltage 22",,1,70368744177664
,"136F","IVCurve_Current22","U16","0,01","A",,,"R","IV curve scan current 22",,1,140737488355328
,"1370","IVCurve_Voltage23","U16","0,1","V",,,"R","IV curve scan voltage 23",,1,281474976710656
,"1371","IVCurve_Current23","U16","0,01","A",,,"R","IV curve scan current 23",,1,562949953421312
,"1372","IVCurve_Voltage24","U16","0,1","V",,,"R","IV curve sweep voltage 24",,1,1125899906842624
,"1373","IVCurve_Current24","U16","0,01","A",,,"R","IV curve scan current 24",,1,2251799813685248
,"1374","IVCurve_Voltage25","U16","0,1","V",,,"R","IV curve sweep voltage 25",,1,4503599627370496
,"1375","IVCurve_Current25","U16","0,01","A",,,"R","IV curve scan current 25",,1,"9,00719925474099E+015"
,"1376","IVCurve_Voltage26","U16","0,1","V",,,"R","IV curve sweep voltage 26",,1,"1,8014398509482E+016"
,"1377","IVCurve_Current26","U16","0,01","A",,,"R","IV curve scan current 26",,1,"3,6028797018964E+016"
,"1378","IVCurve_Voltage27","U16","0,1","V",,,"R","IV curve scan voltage 27",,1,"7,20575940379279E+016"
,"1379","IVCurve_Current27","U16","0,01","A",,,"R","IV curve scan current 27",,1,"1,44115188075856E+017"
,"137A","IVCurve_Voltage28","U16","0,1","V",,,"R","IV curve sweep voltage 28",,1,"2,88230376151712E+017"
,"137B","IVCurve_Current28","U16","0,01","A",,,"R","IV curve scan current 28",,1,"5,76460752303424E+017"
,"137C","IVCurve_Voltage29","U16","0,1","V",,,"R","IV curve sweep voltage 29",,1,"1,15292150460685E+018"
,"137D","IVCurve_Current29","U16","0,01","A",,,"R","IV curve scan current 29",,1,"2,30584300921369E+018"
,"137E","IVCurve_Voltage30","U16","0,1","V",,,"R","IV curve sweep voltage 30",,1,"4,61168601842739E+018"
,"137F","IVCurve_Current30","U16","0,01","A",,,"R","IV curve scan current 30",,1,"9,22337203685478E+018"
,"1380","AddressMask_Config_ReadOnly_Result3","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid",,"FFFFFFFF","FFFFFFFF"
,"1381",,,,,,,,,,,
,"1382",,,,,,,,,,,
,"1383",,,,,,,,,,,
,"1384","IVCurve_Voltage31","U16","0,1","V",,,"R","IV curve sweep voltage 31",,1,16
,"1385","IVCurve_Current31","U16","0,01","A",,,"R","IV curve scan current 31",,1,32
,"1386","IVCurve_Voltage32","U16","0,1","V",,,"R","IV curve scan voltage 32",,1,64
,"1387","IVCurve_Current32","U16","0,01","A",,,"R","IV curve scan current 32",,1,128
,"1388","IVCurve_Voltage33","U16","0,1","V",,,"R","IV curve sweep voltage 33",,1,256
,"1389","IVCurve_Current33","U16","0,01","A",,,"R","IV curve scan current 33",,1,512
,"138A","IVCurve_Voltage34","U16","0,1","V",,,"R","IV curve sweep voltage 34",,1,1024
,"138B","IVCurve_Current34","U16","0,01","A",,,"R","IV curve scan current 34",,1,2048
,"138C","IVCurve_Voltage35","U16","0,1","V",,,"R","IV curve scan voltage 35",,1,4096
,"138D","IVCurve_Current35","U16","0,01","A",,,"R","IV curve scan current 35",,1,8192
,"138E","IVCurve_Voltage36","U16","0,1","V",,,"R","IV curve scan voltage 36",,1,16384
,"138F","IVCurve_Current36","U16","0,01","A",,,"R","IV curve scan current 36",,1,32768
,"1390","IVCurve_Voltage37","U16","0,1","V",,,"R","IV curve sweep voltage 37",,1,65536
,"1391","IVCurve_Current37","U16","0,01","A",,,"R","IV curve scan current 37",,1,131072
,"1392","IVCurve_Voltage38","U16","0,1","V",,,"R","IV curve sweep voltage 38",,1,262144
,"1393","IVCurve_Current38","U16","0,01","A",,,"R","IV curve scan current 38",,1,524288
,"1394","IVCurve_Voltage39","U16","0,1","V",,,"R","IV curve sweep voltage 39",,1,1048576
,"1395","IVCurve_Current39","U16","0,01","A",,,"R","IV curve scan current 39",,1,2097152
,"1396","IVCurve_Voltage40","U16","0,1","V",,,"R","IV curve sweep voltage 40",,1,4194304
,"1397","IVCurve_Current40","U16","0,01","A",,,"R","IV curve scan current 40",,1,8388608
,"1398","IVCurve_Voltage41","U16","0,1","V",,,"R","IV curve sweep voltage 41",,1,16777216
,"1399","IVCurve_Current41","U16","0,01","A",,,"R","IV curve scan current 41",,1,33554432
,"139A","IVCurve_Voltage42","U16","0,1","V",,,"R","IV curve sweep voltage 42",,1,67108864
,"139B","IVCurve_Current42","U16","0,01","A",,,"R","IV curve scan current 42",,1,134217728
,"139C","IVCurve_Voltage43","U16","0,1","V",,,"R","IV curve scan voltage 43",,1,268435456
,"139D","IVCurve_Current43","U16","0,01","A",,,"R","IV curve scan current 43",,1,536870912
,"139E","IVCurve_Voltage44","U16","0,1","V",,,"R","IV curve sweep voltage 44",,1,1073741824
,"139F","IVCurve_Current44","U16","0,01","A",,,"R","IV curve scan current 44",,1,2147483648
,"13A0","IVCurve_Voltage45","U16","0,1","V",,,"R","IV curve sweep voltage 45",,1,4294967296
,"13A1","IVCurve_Current45","U16","0,01","A",,,"R","IV curve scan current 45",,1,8589934592
,"13A2","IVCurve_Voltage46","U16","0,1","V",,,"R","IV curve scan voltage 46",,1,17179869184
,"13A3","IVCurve_Current46","U16","0,01","A",,,"R","IV curve scan current 46",,1,34359738368
,"13A4","IVCurve_Voltage47","U16","0,1","V",,,"R","IV curve scan voltage 47",,1,68719476736
,"13A5","IVCurve_Current47","U16","0,01","A",,,"R","IV curve scan current 47",,1,137438953472
,"13A6","IVCurve_Voltage48","U16","0,1","V",,,"R","IV curve scan voltage 48",,1,274877906944
,"13A7","IVCurve_Current48","U16","0,01","A",,,"R","IV curve scan current 48",,1,549755813888
,"13A8","IVCurve_Voltage49","U16","0,1","V",,,"R","IV curve sweep voltage 49",,1,1099511627776
,"13A9","IVCurve_Current49","U16","0,01","A",,,"R","IV curve scan current 49",,1,2199023255552
,"13AA","IVCurve_Voltage50","U16","0,1","V",,,"R","IV curve sweep voltage 50",,1,4398046511104
,"13AB","IVCurve_Current50","U16","0,01","A",,,"R","IV curve scan current 50",,1,8796093022208
,"13AC","IVCurve_Voltage51","U16","0,1","V",,,"R","IV curve scan voltage 51",,1,17592186044416
,"13AD","IVCurve_Current51","U16","0,01","A",,,"R","IV curve scan current 51",,1,35184372088832
,"13AE","IVCurve_Voltage52","U16","0,1","V",,,"R","IV curve scan voltage 52",,1,70368744177664
,"13AF","IVCurve_Current52","U16","0,01","A",,,"R","IV curve scan current 52",,1,140737488355328
,"13B0","IVCurve_Voltage53","U16","0,1","V",,,"R","IV curve sweep voltage 53",,1,281474976710656
,"13B1","IVCurve_Current53","U16","0,01","A",,,"R","IV curve scan current 53",,1,562949953421312
,"13B2","IVCurve_Voltage54","U16","0,1","V",,,"R","IV curve sweep voltage 54",,1,1125899906842624
,"13B3","IVCurve_Current54","U16","0,01","A",,,"R","IV curve scan current 54",,1,2251799813685248
,"13B4","IVCurve_Voltage55","U16","0,1","V",,,"R","IV curve sweep voltage 55",,1,4503599627370496
,"13B5","IVCurve_Current55","U16","0,01","A",,,"R","IV curve scan current 55",,1,"9,00719925474099E+015"
,"13B6","IVCurve_Voltage56","U16","0,1","V",,,"R","IV curve sweep voltage 56",,1,"1,8014398509482E+016"
,"13B7","IVCurve_Current56","U16","0,01","A",,,"R","IV curve scan current 56",,1,"3,6028797018964E+016"
,"13B8","IVCurve_Voltage57","U16","0,1","V",,,"R","IV curve sweep voltage 57",,1,"7,20575940379279E+016"
,"13B9","IVCurve_Current57","U16","0,01","A",,,"R","IV curve scan current 57",,1,"1,44115188075856E+017"
,"13BA","IVCurve_Voltage58","U16","0,1","V",,,"R","IV curve sweep voltage 58",,1,"2,88230376151712E+017"
,"13BB","IVCurve_Current58","U16","0,01","A",,,"R","IV curve scan current 58",,1,"5,76460752303424E+017"
,"13BC","IVCurve_Voltage59","U16","0,1","V",,,"R","IV curve sweep voltage 59",,1,"1,15292150460685E+018"
,"13BD","IVCurve_Current59","U16","0,01","A",,,"R","IV curve scan current 59",,1,"2,30584300921369E+018"
,"13BE","IVCurve_Voltage60","U16","0,1","V",,,"R","IV curve sweep voltage 60",,1,"4,61168601842739E+018"
,"13BF","IVCurve_Current60","U16","0,01","A",,,"R","IV curve scan current 60",,1,"9,22337203685478E+018"
,"13C0","AddressMask_Config_ReadOnly_Result4","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid",,"00000FFF","FFFFFFFF"
,"13C1",,,,,,,,,,,
,"13C2",,,,,,,,,,,
,"13C3",,,,,,,,,,,
,"13C4","IVCurve_Voltage61","U16","0,1","V",,,"R","IV curve sweep voltage 61",,1,16
,"13C5","IVCurve_Current61","U16","0,01","A",,,"R","IV curve scan current 61",,1,32
,"13C6","IVCurve_Voltage62","U16","0,1","V",,,"R","IV curve scan voltage 62",,1,64
,"13C7","IVCurve_Current62","U16","0,01","A",,,"R","IV curve scan current 62",,1,128
,"13C8","IVCurve_Voltage63","U16","0,1","V",,,"R","IV curve scan voltage 63",,1,256
,"13C9","IVCurve_Current63","U16","0,01","A",,,"R","IV curve scan current 63",,1,512
,"13CA","IVCurve_Voltage64","U16","0,1","V",,,"R","IV curve scan voltage 64",,1,1024
,"13CB","IVCurve_Current64","U16","0,01","A",,,"R","IV curve scan current 64",,1,2048
,"13CC","IVCurve_Voltage65","U16","0,1","V",,,"R","IV curve sweep voltage 65",,1,4096
,"13CD","IVCurve_Current65","U16","0,01","A",,,"R","IV curve scan current 65",,1,8192
,"13CE","IVCurve_Voltage66","U16","0,1","V",,,"R","IV curve sweep voltage 66",,1,16384
,"13CF","IVCurve_Current66","U16","0,01","A",,,"R","IV curve scan current 66",,1,32768
,"13D0","IVCurve_Voltage67","U16","0,1","V",,,"R","IV curve sweep voltage 67",,1,65536
,"13D1","IVCurve_Current67","U16","0,01","A",,,"R","IV curve scan current 67",,1,131072
,"13D2","IVCurve_Voltage68","U16","0,1","V",,,"R","IV curve scan voltage 68",,1,262144
,"13D3","IVCurve_Current68","U16","0,01","A",,,"R","IV curve scan current 68",,1,524288
,"13D4","IVCurve_Voltage69","U16","0,1","V",,,"R","IV curve sweep voltage 69",,1,1048576
,"13D5","IVCurve_Current69","U16","0,01","A",,,"R","IV curve scan current 69",,1,2097152
,"13D6","IVCurve_Voltage70","U16","0,1","V",,,"R","IV curve sweep voltage 70",,1,4194304
,"13D7","IVCurve_Current70","U16","0,01","A",,,"R","IV curve scan current 70",,1,8388608
,"13D8","IVCurve_Voltage71","U16","0,1","V",,,"R","IV curve sweep voltage 71",,1,16777216
,"13D9","IVCurve_Current71","U16","0,01","A",,,"R","IV curve scan current 71",,1,33554432
,"13DA","IVCurve_Voltage72","U16","0,1","V",,,"R","IV curve scan voltage 72",,1,67108864
,"13DB","IVCurve_Current72","U16","0,01","A",,,"R","IV curve scan current 72",,1,134217728
,"13DC","IVCurve_Voltage73","U16","0,1","V",,,"R","IV curve sweep voltage 73",,1,268435456
,"13DD","IVCurve_Current73","U16","0,01","A",,,"R","IV curve scan current 73",,1,536870912
,"13DE","IVCurve_Voltage74","U16","0,1","V",,,"R","IV curve sweep voltage 74",,1,1073741824
,"13DF","IVCurve_Current74","U16","0,01","A",,,"R","IV curve scan current 74",,1,2147483648
,"13E0","IVCurve_Voltage75","U16","0,1","V",,,"R","IV curve sweep voltage 75",,1,4294967296
,"13E1","IVCurve_Current75","U16","0,01","A",,,"R","IV curve scan current 75",,1,8589934592
,"13E2","IVCurve_Voltage76","U16","0,1","V",,,"R","IV curve scan voltage 76",,1,17179869184
,"13E3","IVCurve_Current76","U16","0,01","A",,,"R","IV curve scan current 76",,1,34359738368
,"13E4","IVCurve_Voltage77","U16","0,1","V",,,"R","IV curve sweep voltage 77",,1,68719476736
,"13E5","IVCurve_Current77","U16","0,01","A",,,"R","IV curve scan current 77",,1,137438953472
,"13E6","IVCurve_Voltage78","U16","0,1","V",,,"R","IV curve sweep voltage 78",,1,274877906944
,"13E7","IVCurve_Current78","U16","0,01","A",,,"R","IV curve sweep current 78",,1,549755813888
,"13E8","IVCurve_Voltage79","U16","0,1","V",,,"R","IV curve sweep voltage 79",,1,1099511627776
,"13E9","IVCurve_Current79","U16","0,01","A",,,"R","IV curve sweep current 79",,1,2199023255552
,"13EA","IVCurve_Voltage80","U16","0,1","V",,,"R","IV curve sweep voltage 80",,1,4398046511104
,"13EB","IVCurve_Current80","U16","0,01","A",,,"R","IV curve sweep current 80",,1,8796093022208
,"13EC","IVCurve_Voltage81","U16","0,1","V",,,"R","IV curve sweep voltage 81",,,0
,"13ED","IVCurve_Current81","U16","0,01","A",,,"R","IV curve sweep current 81",,,0
,"13EE","IVCurve_Voltage82","U16","0,1","V",,,"R","IV curve sweep voltage 82",,,0
,"13EF","IVCurve_Current82","U16","0,01","A",,,"R","IV curve scan current 82",,,0
,"13F0","IVCurve_Voltage83","U16","0,1","V",,,"R","IV curve sweep voltage 83",,,0
,"13F1","IVCurve_Current83","U16","0,01","A",,,"R","IV curve sweep current 83",,,0
,"13F2","IVCurve_Voltage84","U16","0,1","V",,,"R","IV curve sweep voltage 84",,,0
,"13F3","IVCurve_Current84","U16","0,01","A",,,"R","IV curve sweep current 84",,,0
,"13F4","IVCurve_Voltage85","U16","0,1","V",,,"R","IV curve sweep voltage 85",,,0
,"13F5","IVCurve_Current85","U16","0,01","A",,,"R","IV curve sweep current 85",,,0
,"13F6","IVCurve_Voltage86","U16","0,1","V",,,"R","IV curve sweep voltage 86",,,0
,"13F7","IVCurve_Current86","U16","0,01","A",,,"R","IV curve scan current 86",,,0
,"13F8","IVCurve_Voltage87","U16","0,1","V",,,"R","IV curve sweep voltage 87",,,0
,"13F9","IVCurve_Current87","U16","0,01","A",,,"R","IV curve scan current 87",,,0
,"13FA","IVCurve_Voltage88","U16","0,1","V",,,"R","IV curve sweep voltage 88",,,0
,"13FB","IVCurve_Current88","U16","0,01","A",,,"R","IV curve sweep current 88",,,0
,"13FC","IVCurve_Voltage89","U16","0,1","V",,,"R","IV curve sweep voltage 89",,,0
,"13FD","IVCurve_Current89","U16","0,01","A",,,"R","IV curve scan current 89",,,0
,"13FE","IVCurve_Voltage90","U16","0,1","V",,,"R","IV curve sweep voltage 90",,,0
,"13FF","IVCurve_Current90","U16","0,01","A",,,"R","IV curve sweep current 90",,,0
,"1400","AddressMask_Config_ReadOnly_Result5","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid.",,"00000000","0000000F"
,"1401",,,,,,,,,,,
,"1402",,,,,,,,,,,
,"1403",,,,,,,,,,,
,"1404","IVCurve_Voltage91","U16","0,1","V",,,"R","IV curve sweep voltage 91",,0,0
,"1405","IVCurve_Current91","U16","0,01","A",,,"R","IV curve sweep current 91",,,0
,"1406","IVCurve_Voltage92","U16","0,1","V",,,"R","IV curve sweep voltage 92",,,0
,"1407","IVCurve_Current92","U16","0,01","A",,,"R","IV curve scan current 92",,,0
,"1408","IVCurve_Voltage93","U16","0,1","V",,,"R","IV curve sweep voltage 93",,,0
,"1409","IVCurve_Current93","U16","0,01","A",,,"R","IV curve sweep current 93",,,0
,"140A","IVCurve_Voltage94","U16","0,1","V",,,"R","IV curve sweep voltage 94",,,0
,"140B","IVCurve_Current94","U16","0,01","A",,,"R","IV curve scan current 94",,,0
,"140C","IVCurve_Voltage95","U16","0,1","V",,,"R","IV curve sweep voltage 95",,,0
,"140D","IVCurve_Current95","U16","0,01","A",,,"R","IV curve sweep current 95",,,0
,"140E","IVCurve_Voltage96","U16","0,1","V",,,"R","IV curve sweep voltage 96",,,0
,"140F","IVCurve_Current96","U16","0,01","A",,,"R","IV curve scan current 96",,,0
,"1410","IVCurve_Voltage97","U16","0,1","V",,,"R","IV curve sweep voltage 97",,,0
,"1411","IVCurve_Current97","U16","0,01","A",,,"R","IV curve scan current 97",,,0
,"1412","IVCurve_Voltage98","U16","0,1","V",,,"R","IV curve sweep voltage 98",,,0
,"1413","IVCurve_Current98","U16","0,01","A",,,"R","IV curve scan current 98",,,0
,"1414","IVCurve_Voltage99","U16","0,1","V",,,"R","IV curve sweep voltage 99",,,0
,"1415","IVCurve_Current99","U16","0,01","A",,,"R","IV curve sweep current 99",,,0
,"1416","IVCurve_Voltage100","U16","0,1","V",,,"R","IV curve sweep voltage 100",,,0
,"1417","IVCurve_Current100","U16","0,01","A",,,"R","IV curve sweep current 100",,,0
,"1418","IVCurve_Voltage101","U16","0,1","V",,,"R","IV curve sweep voltage 101",,,0
,"1419","IVCurve_Current101","U16","0,01","A",,,"R","IV curve sweep current 101",,,0
,"141A","IVCurve_Voltage102","U16","0,1","V",,,"R","IV curve sweep voltage 102",,,0
,"141B","IVCurve_Current102","U16","0,01","A",,,"R","IV curve scan current 102",,,0
,"141C","IVCurve_Voltage103","U16","0,1","V",,,"R","IV curve sweep voltage 103",,,0
,"141D","IVCurve_Current103","U16","0,01","A",,,"R","IV curve scan current 103",,,0
,"141E","IVCurve_Voltage104","U16","0,1","V",,,"R","IV curve sweep voltage 104",,,0
,"141F","IVCurve_Current104","U16","0,01","A",,,"R","IV curve scan current 104",,,0
,"1420","IVCurve_Voltage105","U16","0,1","V",,,"R","IV curve sweep voltage 105",,,0
,"1421","IVCurve_Current105","U16","0,01","A",,,"R","IV curve scan current 105",,,0
,"1422","IVCurve_Voltage106","U16","0,1","V",,,"R","IV curve sweep voltage 106",,,0
,"1423","IVCurve_Current106","U16","0,01","A",,,"R","IV curve scan current 106",,,0
,"1424","IVCurve_Voltage107","U16","0,1","V",,,"R","IV curve sweep voltage 107",,,0
,"1425","IVCurve_Current107","U16","0,01","A",,,"R","IV curve scan current 107",,,0
,"1426","IVCurve_Voltage108","U16","0,1","V",,,"R","IV curve sweep voltage 108",,,0
,"1427","IVCurve_Current108","U16","0,01","A",,,"R","IV curve sweep current 108",,,0
,"1428","IVCurve_Voltage109","U16","0,1","V",,,"R","IV curve sweep voltage 109",,,0
,"1429","IVCurve_Current109","U16","0,01","A",,,"R","IV curve scan current 109",,,0
